N,insertion_worst_sec,quick_worst_reverse_sec,quick_worst_killer_sec,hybrid_worst_killer_sec
50,0.0048241,0.0092886,0.0119513,0.0171964
64,0.0077373,0.0109236,0.0149345,0.0138654
82,0.0126693,0.0171458,0.0228173,0.0210675
106,0.0212354,0.0233993,0.0362353,0.0312212
136,0.0356852,0.0334589,0.04337,0.039186
174,0.0632089,0.0470584,0.0639504,0.100497
224,0.0905159,0.0631971,0.0885742,0.0824272
287,0.150532,0.149281,0.125648,0.11279
368,0.266362,0.14959,0.15761,0.14592
473,0.59289,0.178951,0.333038,0.259538
607,0.994892,0.237294,0.29868,0.252284
779,1.83331,0.360943,0.451912,0.43208
1000,2.52778,0.628989,0.679077,0.526842
1284,4.80717,0.99023,1.05661,1.22181
1648,8.48903,1.30637,1.50848,1.32293
2115,12.0071,1.94897,2.35051,1.96406
2714,20.8892,2.90349,2.8214,2.90847
3484,35.8197,5.30331,4.43606,3.89847
4472,57.6673,6.48211,5.59495,6.07212
5740,99.692,13.3608,9.62146,8.60941
7368,154.478,14.1454,11.5694,11.3348
9457,267.942,19.7056,15.8645,15.1965
12139,429.992,27.174,21.4227,21.2412
15582,657.117,43.1516,29.0514,29.015
20000,1186.22,59.0368,36.8965,37.6772
